Age,Gender,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,Location_Europe,Location_Other,Location_USA,GameGenre_RPG,GameGenre_Simulation,GameGenre_Sports,GameGenre_Strategy,GamingIntensity,SessionConsistency,AchievementRate,LevelSpeed,SessionsPerLevel,PlaytimeEfficiency,AgeLevelInteraction,EngagementDepth,Confidence_Score,Predicted_Engagement,Actual_Engagement,Prediction_Correct
44,1,0.960931464733159,0,0,7,176,70,22,0,0,1,0,1,0,0,1232,0.03954802259887006,0.30985915492957744,8.75,0.09859154929577464,0.017842660178426603,3080,0.5762081784279516,0.9484,Medium,Medium,1
23,1,5.440732313420981,1,1,15,89,64,27,0,0,1,0,0,1,0,1335,0.16666666666666666,0.4153846153846154,4.0,0.23076923076923078,0.020209580838323353,1472,0.6245353159735216,0.4178,High,High,1
24,1,18.654439222646253,0,0,8,106,49,45,1,0,0,0,0,1,0,848,0.07476635514018691,0.9,5.444444444444445,0.16,0.053003533568904596,1176,0.6356877323301917,0.9139,Medium,Medium,1
44,0,4.2953443188978015,0,0,14,125,98,5,0,0,1,0,0,0,1,1750,0.1111111111111111,0.050505050505050504,6.533333333333333,0.1414141414141414,0.0028555111364934323,4312,0.6449814126274167,0.8983,High,High,1
37,0,3.070052237299556,0,2,16,28,18,33,0,1,0,1,0,0,0,448,0.5517241379310345,1.736842105263158,1.0588235294117647,0.8421052631578947,0.07349665924276169,666,0.41821561337512614,0.9547,Medium,Medium,1
44,1,10.812152940917676,0,2,4,80,91,18,1,0,0,0,0,0,0,320,0.04938271604938271,0.1956521739130435,18.2,0.043478260869565216,0.056074766355140186,4004,0.6468401486868618,0.8971,Medium,Medium,1
34,0,12.015152070297656,1,2,17,30,99,41,1,0,0,0,0,0,1,510,0.5483870967741935,0.41,5.5,0.17,0.08023483365949119,3366,0.9349442379008376,0.9691,Medium,Medium,1
31,0,15.945032595774537,0,2,16,18,3,18,0,0,0,1,0,0,0,288,0.8421052631578947,4.5,0.17647058823529413,4.0,0.06228373702422145,93,0.22304832713340056,0.8966,Low,Low,1
21,1,14.008365033838558,0,0,6,127,86,30,1,0,0,0,0,0,0,762,0.046875,0.3448275862068966,12.285714285714286,0.06896551724137931,0.039318479685452164,1806,0.7193308550052168,0.9445,Medium,Medium,1
27,1,12.288017238073696,0,2,7,62,87,48,1,0,0,1,0,0,0,434,0.1111111111111111,0.5454545454545454,10.875,0.07954545454545454,0.1103448275862069,2349,0.8643122676419273,0.9451,Medium,Medium,1
